[21Aug2025 00:18:44.960] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Melosito_Neo has made the advancement [Incendium]
[21Aug2025 00:18:44.996] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Melosito_Neo has made the advancement [We Need to Go Deeper]
[21Aug2025 00:18:46.269] [Server thread/WARN] [net.minecraft.server.MinecraftServer/]: Can't keep up! Is the server overloaded? Running 2941ms or 58 ticks behind
[21Aug2025 00:18:55.898] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-11, y=51, z=-156} BlockPos{x=-11, y=52, z=-156}
[21Aug2025 00:18:57.696] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-11, y=44, z=-156} BlockPos{x=-11, y=45, z=-156}
[21Aug2025 00:18:59.712] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-11, y=32, z=-156} BlockPos{x=-11, y=35, z=-156}
[21Aug2025 00:20:48.507] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-36, y=14, z=-137} BlockPos{x=-37, y=14, z=-136}
[21Aug2025 00:20:50.647] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-34, y=14, z=-135} BlockPos{x=-33, y=14, z=-132}
[21Aug2025 00:21:03.192] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-31, y=12, z=-119} BlockPos{x=-32, y=12, z=-121}
[21Aug2025 00:22:00.941] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-23, y=11, z=-74} BlockPos{x=-24, y=11, z=-74}
[21Aug2025 00:22:03.327] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-25, y=9, z=-66} BlockPos{x=-25, y=9, z=-67}
[21Aug2025 00:22:05.493] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-25, y=9, z=-66} BlockPos{x=-17, y=11, z=-62}
[21Aug2025 00:22:11.341] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-8, y=14, z=-51} BlockPos{x=-8, y=13, z=-51}
[21Aug2025 00:22:11.391] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-10, y=11, z=-53} BlockPos{x=-8, y=13, z=-51}
[21Aug2025 00:22:11.592] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-10, y=11, z=-53} BlockPos{x=-10, y=10, z=-53}
[21Aug2025 00:22:16.390] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-2, y=14, z=-44} BlockPos{x=-1, y=13, z=-41}
[21Aug2025 00:22:16.440] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1, y=14, z=-40} BlockPos{x=-1, y=13, z=-41}
[21Aug2025 00:22:31.790] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=5, y=16, z=-33} BlockPos{x=-15, y=13, z=-35}
[21Aug2025 00:22:32.593] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-16, y=12, z=-35} BlockPos{x=-19, y=12, z=-35}
[21Aug2025 00:22:35.142] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-26, y=11, z=-37} BlockPos{x=-25, y=12, z=-37}
[21Aug2025 00:22:35.490] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-32, y=12, z=-37} BlockPos{x=-28, y=12, z=-37}
[21Aug2025 00:22:38.992] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-34, y=12, z=-38} BlockPos{x=-38, y=12, z=-35}
[21Aug2025 00:22:45.593] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-53, y=11, z=-28} BlockPos{x=-54, y=9, z=-28}
[21Aug2025 00:22:47.196] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-60, y=10, z=-24} BlockPos{x=-59, y=10, z=-24}
[21Aug2025 00:22:55.020] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-85, y=10, z=-24} BlockPos{x=-85, y=11, z=-24}
[21Aug2025 00:23:03.342] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-112, y=13, z=-20} BlockPos{x=-115, y=14, z=-20}
